task_name,task_instance_id,path_to_task,correct_label,incorrect_label,order_appearing_in_survey,advice_source,advice,participant_id,response_1,response_2,survey_q1_perceived_advice_accuracy,survey_q2_helpfulness_of_advice,survey_q3_trust_in_advice,survey_q4_prefers_human_or_AI,survey_q5_AI_in_life,geographic_region,education,education_description,gender,age,programming_experience,socioeconomic_status,years_of_experience,job_title,perceived_accuracy
art,art-renaissance-8,art/renaissance/8.jpg,renaissance,baroque,0,ai,0.19874999999999998,1e36a8d73451b8ba9a2177adf2d2cb1a,-0.62,-0.12,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-modern-8,art/modern/8.jpg,modern,baroque,1,ai,0.8570833333333332,1e36a8d73451b8ba9a2177adf2d2cb1a,1.0,0.98,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-romanticism-1,art/romanticism/1.jpg,romanticism,modern,2,ai,0.2466666666666666,1e36a8d73451b8ba9a2177adf2d2cb1a,-0.94,-0.34,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-renaissance-2,art/renaissance/2.jpg,renaissance,baroque,3,ai,0.036666666666666625,1e36a8d73451b8ba9a2177adf2d2cb1a,-0.88,-0.06,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-renaissance-3,art/renaissance/3.jpg,renaissance,baroque,4,ai,0.5941666666666667,1e36a8d73451b8ba9a2177adf2d2cb1a,0.16,0.34,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-modern-5,art/modern/5.jpg,modern,romanticism,5,ai,0.022083333333333233,1e36a8d73451b8ba9a2177adf2d2cb1a,-0.82,-0.7,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-baroque-6,art/baroque/6.jpg,baroque,renaissance,6,ai,-0.013333333333333308,1e36a8d73451b8ba9a2177adf2d2cb1a,-0.96,-0.76,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-baroque-5,art/baroque/5.jpg,baroque,renaissance,7,ai,0.7262499999999998,1e36a8d73451b8ba9a2177adf2d2cb1a,-0.92,-0.08,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-modern-6,art/modern/6.jpg,modern,romanticism,8,ai,0.7720833333333332,1e36a8d73451b8ba9a2177adf2d2cb1a,0.98,0.96,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
art,art-baroque-7,art/baroque/7.jpg,baroque,romanticism,9,ai,0.5687500000000001,1e36a8d73451b8ba9a2177adf2d2cb1a,0.02,0.5,81.0,0.8230000000000001,0.774,0.42200000000000015,0.302,United States,6,Undergraduate degree (BA/BSc/other),female,25,No,4,,,80
